champion,kills,deaths,assists,gold,damage,win,duration
Camille,3,5,19,21900,75582,1,1594
Mordekaiser,23,4,2,21900,197437,1,1594
Ekko,9,7,4,14500,76109,1,1383
Graves,9,7,6,19650,242870,1,1312
Gangplank,5,5,8,11915,136759,0,1366
Renata,11,4,10,13750,77151,1,1494
Mel,14,5,6,19708,217346,1,1379
Ezreal,12,5,4,17350,158915,0,1179
Chogath,2,0,10,7098,45253,1,614
Vladimir,18,1,11,19863,271782,1,1325
Zyra,6,8,15,16314,158337,1,1325
Ziggs,2,6,18,14811,128250,1,1244
TahmKench,13,5,13,16826,115118,1,1244
Velkoz,3,5,9,15684,126613,0,1323
Jhin,9,9,6,17860,151574,0,1323
Taliyah,3,13,11,15394,90638,1,1479
Swain,6,7,16,18403,137711,1,1479
Anivia,2,3,3,12607,65213,1,1210
Samira,8,4,4,15440,165104,1,1210
Sejuani,11,10,11,17522,139261,0,1409
Soraka,3,12,24,14368,68321,0,1409
Ahri,11,1,5,9703,74553,1,627
Soraka,5,2,14,7170,18129,1,627
Viktor,7,0,16,14452,219721,1,1949
Warwick,7,9,3,9664,41022,0,952
Lulu,4,5,12,9511,46016,0,952
Sejuani,4,15,8,15226,117215,0,1375
Taric,15,12,10,18183,133942,0,1375
Nunu,4,15,5,10740,52183,0,1251
Shaco,11,5,5,13803,85373,0,1251
Braum,0,7,27,9821,35858,1,2368
TahmKench,6,1,13,9498,47752,1,1378
Warwick,15,17,22,20339,419553,0,2916
Veigar,3,8,4,10450,135707,0,1648
Annie,11,5,17,14689,132991,1,1952
Taliyah,5,4,10,12229,186862,1,1920
Chogath,7,6,4,11099,156623,0,1630
DrMundo,3,5,13,14441,268001,0,2245
Viktor,5,1,6,8123,87130,1,1234
Aurora,2,3,6,13387,89438,1,1079
Smolder,8,2,6,14428,162796,1,1079
Kalista,2,16,11,11892,75052,0,1007
Pyke,10,11,8,11983,39164,0,1007
Thresh,5,9,4,8974,51314,0,819
